"","FULLID","MODEL","CODE","INST","LIBVER","CALCVAL","CALCERR"
"121","HEU-COMP-THERM-021-011",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99421,0.00043
"122","HEU-COMP-THERM-021-011",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99497,4e-04
"123","HEU-COMP-THERM-021-012",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99381,0.00041
"124","HEU-COMP-THERM-021-012",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99561,0.00048
"125","HEU-COMP-THERM-021-013",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99424,0.00036
"126","HEU-COMP-THERM-021-013",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99576,0.00038
"127","HEU-COMP-THERM-021-014",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00661,4e-04
"128","HEU-COMP-THERM-021-014",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00741,0.00043
"129","HEU-COMP-THERM-021-015",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00507,0.00039
"130","HEU-COMP-THERM-021-015",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00573,0.00041
"131","HEU-COMP-THERM-021-016",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00494,0.00045
"132","HEU-COMP-THERM-021-016",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00556,0.00037
"133","HEU-COMP-THERM-021-017",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00507,0.00038
"134","HEU-COMP-THERM-021-017",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00598,0.00042
"135","HEU-COMP-THERM-021-018",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00499,0.00047
"136","HEU-COMP-THERM-021-018",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00572,0.00038
"137","HEU-COMP-THERM-021-019",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00548,0.00042
"138","HEU-COMP-THERM-021-019",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00525,0.00038
"139","HEU-COMP-THERM-021-020",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.0039,0.00044
"140","HEU-COMP-THERM-021-020",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00488,0.00047
"141","HEU-COMP-THERM-021-021",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00352,0.00042
"142","HEU-COMP-THERM-021-021",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00469,0.00039
"143","HEU-COMP-THERM-021-022",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00311,4e-04
"144","HEU-COMP-THERM-021-022",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00396,0.00041
"145","HEU-COMP-THERM-021-023",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00423,0.00042
"146","HEU-COMP-THERM-021-023",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.0068,0.00039
"147","HEU-COMP-THERM-021-024",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00398,0.00041
"148","HEU-COMP-THERM-021-024",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.007,0.00043
"149","HEU-COMP-THERM-021-025",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00655,0.00046
"150","HEU-COMP-THERM-021-025",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00775,0.00045
"151","HEU-COMP-THERM-021-026",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00574,4e-04
"152","HEU-COMP-THERM-021-026",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00855,0.00038
"153","HEU-COMP-THERM-021-027",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00709,0.00039
"154","HEU-COMP-THERM-021-027",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00839,0.00041
"155","HEU-COMP-THERM-021-028",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00686,4e-04
"156","HEU-COMP-THERM-021-028",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00872,0.00037
"157","HEU-COMP-THERM-021-029",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00742,0.00045
"158","HEU-COMP-THERM-021-029",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00744,0.00035
"159","HEU-COMP-THERM-021-030",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00678,0.00044
"160","HEU-COMP-THERM-021-030",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00808,0.00041
"161","HEU-COMP-THERM-021-031",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00505,0.00043
"162","HEU-COMP-THERM-021-031",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.0068,0.00039
"163","HEU-COMP-THERM-021-032",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.0071,0.00038
"164","HEU-COMP-THERM-021-032",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00951,0.00039
